=== Episode: 50x50_karmasik_ep0 (D3QN) ===
Start: (5, 1) | Goal: (37, 29)
Step  | Robot      | Action     | Mode    | Reward  | Total   | Dyn Obs Positions
-----------------------------------------------------------------------------------------------
18    | (23, 13)   | (1, 1)     | A*      | 27.28   | 610.14  | (33, 3), (44, 19), (7, 19), (48, 26), (39, 13), (5, 15), (48, 9), (18, 24), (7, 44), (11, 22), (8, 14), (24, 37), (25, 22), (10, 36), (34, 20), (48, 18), (33, 41), (10, 23), (4, 44), (22, 33)
19    | (24, 14)   | (1, 1)     | A*      | 27.28   | 637.42  | (33, 3), (43, 20), (7, 18), (47, 27), (39, 14), (5, 16), (47, 10), (18, 24), (8, 44), (11, 23), (8, 15), (24, 38), (25, 23), (10, 37), (33, 20), (48, 18), (34, 41), (10, 22), (3, 44), (22, 32)
20    | (25, 15)   | (1, 1)     | A*      | 27.28   | 664.70  | (33, 3), (43, 20), (7, 17), (46, 28), (38, 13), (5, 17), (48, 11), (18, 24), (9, 44), (11, 24), (8, 16), (24, 39), (25, 24), (10, 38), (32, 20), (47, 18), (35, 41), (10, 23), (3, 44), (22, 31)
21    | (26, 16)   | (1, 1)     | A*      | 27.28   | 691.99  | (34, 4), (43, 20), (7, 16), (46, 28), (39, 12), (5, 17), (48, 11), (18, 23), (10, 44), (11, 25), (8, 16), (24, 40), (25, 25), (10, 38), (31, 19), (46, 18), (36, 41), (9, 23), (3, 45), (22, 30)
22    | (27, 17)   | (1, 1)     | A*      | 27.28   | 719.27  | (33, 4), (43, 21), (7, 15), (45, 29), (40, 13), (5, 16), (47, 12), (17, 24), (11, 44), (11, 26), (8, 15), (24, 40), (25, 25), (10, 37), (32, 20), (46, 18), (37, 41), (10, 22), (4, 46), (22, 30)
23    | (28, 18)   | (1, 1)     | A*      | 77.28   | 796.56  | (33, 3), (43, 21), (7, 15), (46, 30), (41, 13), (5, 15), (47, 12), (18, 25), (11, 44), (11, 26), (8, 14), (24, 39), (25, 24), (10, 36), (32, 20), (47, 18), (38, 41), (11, 23), (4, 46), (22, 31)
24    | (29, 19)   | (1, 1)     | A*      | 73.72   | 870.28  | (33, 3), (43, 21), (7, 16), (45, 31), (42, 12), (5, 15), (48, 11), (19, 26), (10, 44), (11, 25), (8, 13), (24, 38), (25, 23), (10, 35), (32, 19), (48, 18), (39, 41), (10, 24), (4, 46), (22, 32)
25    | (29, 20)   | (0, 1)     | A*      | 17.52   | 887.80  | (33, 3), (43, 22), (7, 17), (44, 31), (42, 12), (5, 16), (48, 11), (20, 27), (9, 44), (11, 24), (8, 12), (24, 37), (25, 22), (10, 34), (32, 19), (48, 18), (40, 41), (10, 23), (4, 46), (22, 33)
26    | (30, 21)   | (1, 1)     | A*      | 73.72   | 961.52  | (33, 3), (43, 23), (7, 18), (44, 32), (43, 12), (5, 17), (48, 10), (20, 28), (8, 44), (11, 23), (8, 11), (24, 36), (25, 21), (10, 33), (31, 19), (47, 18), (41, 41), (10, 22), (4, 47), (22, 33)
27    | (30, 22)   | (0, 1)     | A*      | 14.15   | 975.67  | (33, 3), (43, 23), (7, 19), (44, 31), (44, 12), (5, 17), (48, 10), (20, 28), (7, 44), (11, 22), (8, 10), (24, 36), (25, 20), (10, 32), (30, 19), (46, 18), (42, 41), (10, 23), (5, 46), (22, 32)
28    | (31, 23)   | (1, 1)     | A*      | 27.28   | 1002.96 | (34, 4), (43, 23), (7, 20), (44, 31), (45, 13), (5, 16), (47, 11), (20, 28), (6, 44), (11, 21), (8, 9), (24, 37), (25, 19), (10, 32), (29, 19), (46, 18), (43, 41), (11, 22), (4, 47), (22, 31)
29    | (32, 24)   | (1, 1)     | A*      | 77.28   | 1080.24 | (33, 4), (42, 23), (7, 21), (43, 30), (44, 13), (5, 15), (47, 11), (20, 27), (5, 44), (11, 20), (8, 9), (24, 38), (25, 18), (10, 33), (28, 18), (47, 18), (43, 41), (12, 23), (3, 47), (22, 30)
30    | (33, 25)   | (1, 1)     | A*      | 22.25   | 1102.49 | (32, 3), (43, 23), (7, 22), (43, 30), (45, 12), (5, 15), (48, 12), (20, 26), (4, 44), (11, 19), (8, 10), (24, 39), (25, 18), (10, 34), (28, 18), (48, 18), (42, 41), (11, 23), (3, 47), (22, 30)
31    | (34, 25)   | (1, 0)     | A*      | 69.00   | 1171.49 | (31, 3), (43, 23), (7, 23), (44, 30), (44, 11), (5, 16), (48, 12), (19, 26), (3, 44), (11, 18), (8, 11), (24, 40), (25, 19), (10, 35), (27, 19), (48, 18), (41, 41), (11, 23), (3, 47), (22, 31)
32    | (35, 25)   | (1, 0)     | A*      | 65.44   | 1236.92 | (31, 3), (42, 24), (7, 24), (44, 30), (43, 12), (5, 17), (47, 11), (18, 27), (2, 44), (11, 18), (8, 12), (24, 40), (25, 20), (10, 36), (27, 19), (47, 18), (40, 41), (12, 22), (3, 47), (22, 32)
33    | (36, 26)   | (1, 1)     | A*      | 60.72   | 1297.64 | (31, 3), (42, 23), (7, 25), (43, 30), (42, 11), (5, 17), (47, 11), (19, 26), (1, 44), (11, 19), (8, 13), (24, 39), (25, 21), (10, 37), (27, 20), (46, 18), (39, 41), (11, 23), (3, 47), (22, 33)
34    | (35, 27)   | (-1, 1)    | A*      | 5.68    | 1303.31 | (30, 3), (42, 24), (7, 26), (43, 30), (42, 11), (5, 16), (47, 11), (18, 25), (1, 44), (11, 20), (8, 14), (24, 38), (25, 22), (10, 38), (28, 21), (46, 18), (38, 41), (10, 23), (3, 47), (22, 33)
35    | (36, 28)   | (1, 1)     | A*      | 27.28   | 1330.60 | (31, 3), (43, 23), (7, 27), (42, 30), (42, 11), (5, 15), (47, 12), (18, 24), (2, 44), (11, 21), (8, 15), (24, 37), (25, 23), (10, 38), (27, 21), (47, 18), (37, 41), (9, 23), (4, 46), (22, 32)
36    | (37, 29)   | (1, 1)     | A*      | 500.00  | 1830.60 | (31, 3), (43, 23), (7, 28), (42, 30), (42, 11), (5, 15), (48, 12), (17, 24), (3, 44), (11, 22), (8, 16), (24, 36), (25, 24), (10, 37), (28, 22), (48, 18), (36, 41), (9, 24), (3, 47), (22, 31)
-----------------------------------------------------------------------------------------------
Final Status: SUCCESS
