=== Episode: 10x10_karmasik_ep0 (D3QN) ===
Start: (5, 3) | Goal: (1, 3)
Step  | Robot      | Action     | Mode    | Reward  | Total   | Dyn Obs Positions
272   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -194.50 | (3, 4), (5, 5)
273   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -172.25 | (4, 4), (5, 6)
274   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -196.50 | (4, 4), (5, 6)
275   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -174.25 | (3, 4), (5, 5)
276   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -198.50 | (2, 4), (5, 5)
277   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -176.25 | (1, 4), (5, 6)
278   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -200.50 | (1, 4), (5, 6)
279   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -178.25 | (2, 4), (5, 5)
280   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -202.50 | (3, 4), (5, 5)
281   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -180.25 | (4, 4), (5, 6)
282   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -204.50 | (4, 4), (5, 6)
283   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -182.25 | (3, 4), (5, 5)
284   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -206.50 | (2, 4), (5, 5)
285   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -184.25 | (1, 4), (5, 6)
286   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -208.50 | (1, 4), (5, 6)
287   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -186.25 | (2, 4), (5, 5)
288   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -210.50 | (3, 4), (5, 5)
289   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -188.25 | (4, 4), (5, 6)
290   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -212.50 | (4, 4), (5, 6)
291   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -190.25 | (3, 4), (5, 5)
292   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -214.50 | (2, 4), (5, 5)
293   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -192.25 | (1, 4), (5, 6)
294   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -216.50 | (1, 4), (5, 6)
295   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -194.25 | (2, 4), (5, 5)
296   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -218.50 | (3, 4), (5, 5)
297   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -196.25 | (4, 4), (5, 6)
298   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -220.50 | (4, 4), (5, 6)
299   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -198.25 | (3, 4), (5, 5)
300   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -222.50 | (2, 4), (5, 5)
301   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -200.25 | (1, 4), (5, 6)
302   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -224.50 | (1, 4), (5, 6)
303   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -202.25 | (2, 4), (5, 5)
304   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -226.50 | (3, 4), (5, 5)
305   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -204.25 | (4, 4), (5, 6)
306   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -228.50 | (4, 4), (5, 6)
307   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -206.25 | (3, 4), (5, 5)
308   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -230.50 | (2, 4), (5, 5)
309   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -208.25 | (1, 4), (5, 6)
310   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -232.50 | (1, 4), (5, 6)
311   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -210.25 | (2, 4), (5, 5)
312   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -234.50 | (3, 4), (5, 5)
313   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -212.25 | (4, 4), (5, 6)
314   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -236.50 | (4, 4), (5, 6)
315   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -214.25 | (3, 4), (5, 5)
316   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -238.50 | (2, 4), (5, 5)
317   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -216.25 | (1, 4), (5, 6)
318   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -240.50 | (1, 4), (5, 6)
319   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -218.25 | (2, 4), (5, 5)
320   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -242.50 | (3, 4), (5, 5)
321   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -220.25 | (4, 4), (5, 6)
322   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -244.50 | (4, 4), (5, 6)
323   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -222.25 | (3, 4), (5, 5)
324   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -246.50 | (2, 4), (5, 5)
325   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -224.25 | (1, 4), (5, 6)
326   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -248.50 | (1, 4), (5, 6)
327   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -226.25 | (2, 4), (5, 5)
328   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -250.50 | (3, 4), (5, 5)
329   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -228.25 | (4, 4), (5, 6)
330   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -252.50 | (4, 4), (5, 6)
331   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -230.25 | (3, 4), (5, 5)
332   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -254.50 | (2, 4), (5, 5)
333   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -232.25 | (1, 4), (5, 6)
334   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -256.50 | (1, 4), (5, 6)
335   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -234.25 | (2, 4), (5, 5)
336   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -258.50 | (3, 4), (5, 5)
337   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -236.25 | (4, 4), (5, 6)
338   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -260.50 | (4, 4), (5, 6)
339   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -238.25 | (3, 4), (5, 5)
340   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -262.50 | (2, 4), (5, 5)
341   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -240.25 | (1, 4), (5, 6)
342   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -264.50 | (1, 4), (5, 6)
343   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -242.25 | (2, 4), (5, 5)
344   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -266.50 | (3, 4), (5, 5)
345   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -244.25 | (4, 4), (5, 6)
346   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -268.50 | (4, 4), (5, 6)
347   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -246.25 | (3, 4), (5, 5)
348   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -270.50 | (2, 4), (5, 5)
349   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -248.25 | (1, 4), (5, 6)
350   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -272.50 | (1, 4), (5, 6)
351   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -250.25 | (2, 4), (5, 5)
352   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -274.50 | (3, 4), (5, 5)
353   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -252.25 | (4, 4), (5, 6)
354   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -276.50 | (4, 4), (5, 6)
355   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -254.25 | (3, 4), (5, 5)
356   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -278.50 | (2, 4), (5, 5)
357   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -256.25 | (1, 4), (5, 6)
358   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -280.50 | (1, 4), (5, 6)
359   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -258.25 | (2, 4), (5, 5)
360   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -282.50 | (3, 4), (5, 5)
361   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -260.25 | (4, 4), (5, 6)
362   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -284.50 | (4, 4), (5, 6)
363   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -262.25 | (3, 4), (5, 5)
364   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -286.50 | (2, 4), (5, 5)
365   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -264.25 | (1, 4), (5, 6)
366   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -288.50 | (1, 4), (5, 6)
367   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -266.25 | (2, 4), (5, 5)
368   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -290.50 | (3, 4), (5, 5)
369   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -268.25 | (4, 4), (5, 6)
370   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -292.50 | (4, 4), (5, 6)
371   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -270.25 | (3, 4), (5, 5)
372   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -294.50 | (2, 4), (5, 5)
373   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -272.25 | (1, 4), (5, 6)
374   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -296.50 | (1, 4), (5, 6)
375   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -274.25 | (2, 4), (5, 5)
376   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -298.50 | (3, 4), (5, 5)
377   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -276.25 | (4, 4), (5, 6)
378   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -300.50 | (4, 4), (5, 6)
379   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -278.25 | (3, 4), (5, 5)
380   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -302.50 | (2, 4), (5, 5)
381   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -280.25 | (1, 4), (5, 6)
382   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -304.50 | (1, 4), (5, 6)
383   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -282.25 | (2, 4), (5, 5)
384   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -306.50 | (3, 4), (5, 5)
385   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -284.25 | (4, 4), (5, 6)
386   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -308.50 | (4, 4), (5, 6)
387   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -286.25 | (3, 4), (5, 5)
388   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -310.50 | (2, 4), (5, 5)
389   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -288.25 | (1, 4), (5, 6)
390   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -312.50 | (1, 4), (5, 6)
391   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -290.25 | (2, 4), (5, 5)
392   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -314.50 | (3, 4), (5, 5)
393   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -292.25 | (4, 4), (5, 6)
394   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -316.50 | (4, 4), (5, 6)
395   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -294.25 | (3, 4), (5, 5)
396   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -318.50 | (2, 4), (5, 5)
397   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -296.25 | (1, 4), (5, 6)
398   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -320.50 | (1, 4), (5, 6)
399   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -298.25 | (2, 4), (5, 5)
400   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -322.50 | (3, 4), (5, 5)
-----------------------------------------------------------------------------------------------
Final Status: FAILURE
