=== Episode: 10x10_karmasik_ep0 (D3QN) ===
Start: (5, 3) | Goal: (1, 3)
Step  | Robot      | Action     | Mode    | Reward  | Total   | Dyn Obs Positions
63    | (3, 3)     | (-1, 1)    | A*      | 22.25   | 37.75   | (2, 4), (5, 5)
64    | (4, 2)     | (1, -1)    | D3QN    | -24.25  | 13.50   | (3, 4), (5, 5)
65    | (3, 3)     | (-1, 1)    | A*      | 22.25   | 35.75   | (4, 4), (5, 6)
66    | (4, 2)     | (1, -1)    | D3QN    | -24.25  | 11.50   | (4, 4), (5, 6)
67    | (3, 3)     | (-1, 1)    | A*      | 22.25   | 33.75   | (3, 4), (5, 5)
68    | (4, 2)     | (1, -1)    | D3QN    | -24.25  | 9.50    | (2, 4), (5, 5)
69    | (3, 3)     | (-1, 1)    | A*      | 22.25   | 31.75   | (1, 4), (5, 6)
70    | (4, 2)     | (1, -1)    | D3QN    | -24.25  | 7.50    | (1, 4), (5, 6)
71    | (3, 3)     | (-1, 1)    | A*      | 22.25   | 29.75   | (2, 4), (5, 5)
72    | (4, 2)     | (1, -1)    | D3QN    | -24.25  | 5.50    | (3, 4), (5, 5)
73    | (3, 3)     | (-1, 1)    | A*      | 22.25   | 27.75   | (4, 4), (5, 6)
74    | (4, 2)     | (1, -1)    | D3QN    | -24.25  | 3.50    | (4, 4), (5, 6)
75    | (3, 3)     | (-1, 1)    | A*      | 22.25   | 25.75   | (3, 4), (5, 5)
76    | (4, 2)     | (1, -1)    | D3QN    | -24.25  | 1.50    | (2, 4), (5, 5)
77    | (3, 3)     | (-1, 1)    | A*      | 22.25   | 23.75   | (1, 4), (5, 6)
78    | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -0.50   | (1, 4), (5, 6)
79    | (3, 3)     | (-1, 1)    | A*      | 22.25   | 21.75   | (2, 4), (5, 5)
80    | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -2.50   | (3, 4), (5, 5)
81    | (3, 3)     | (-1, 1)    | A*      | 22.25   | 19.75   | (4, 4), (5, 6)
82    | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -4.50   | (4, 4), (5, 6)
83    | (3, 3)     | (-1, 1)    | A*      | 22.25   | 17.75   | (3, 4), (5, 5)
84    | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -6.50   | (2, 4), (5, 5)
85    | (3, 3)     | (-1, 1)    | A*      | 22.25   | 15.75   | (1, 4), (5, 6)
86    | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -8.50   | (1, 4), (5, 6)
87    | (3, 3)     | (-1, 1)    | A*      | 22.25   | 13.75   | (2, 4), (5, 5)
88    | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -10.50  | (3, 4), (5, 5)
89    | (3, 3)     | (-1, 1)    | A*      | 22.25   | 11.75   | (4, 4), (5, 6)
90    | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -12.50  | (4, 4), (5, 6)
91    | (3, 3)     | (-1, 1)    | A*      | 22.25   | 9.75    | (3, 4), (5, 5)
92    | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -14.50  | (2, 4), (5, 5)
93    | (3, 3)     | (-1, 1)    | A*      | 22.25   | 7.75    | (1, 4), (5, 6)
94    | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -16.50  | (1, 4), (5, 6)
95    | (3, 3)     | (-1, 1)    | A*      | 22.25   | 5.75    | (2, 4), (5, 5)
